Book|Chapter|Start Verse|End Verse|Text
Genesis|1|2|0|In the beginning God created the heaven and the earth. Testing testig.
John|3|16|0|For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.
Psalm|23|1|0|The Lord is my Shepherd; I shall not want.
Proverbs|3|5|6|Trust in the Lord with all your heart, and lean not on your own understanding; in all your ways acknowledge Him, and He shall direct your paths.
Philippians|4|13|0|I can do all things through Christ who strengthens me.
Romans|8|28|0|And we know that all things work together for good to those who love God, to those who are the called according to His purpose.
1 Samuel|16|7|0|But the LORD said to Samuel, "Do not consider his appearance or his height, for I have rejected him. The LORD does not look at the things people look at. People look at the outward appearance, but the LORD looks at the heart."
Ephesians|2|8|9|For it is by grace you have been saved, through faith—and this is not from yourselves, it is the gift of God— not by works, so that no one can boast.
Psalm|119|105|0|Your word is a lamp for my feet, a light on my path.
Proverbs|16|3|0|Commit to the LORD whatever you do, and he will establish your plans.
Isaiah|40|31|0|But those who hope in the LORD will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.
1 Corinthians|16|14|0|Do everything in love.
James|1|5|0|If any of you lacks wisdom, you should ask God, who gives generously to all without finding fault, and it will be given to you.
1 John|4|7|0|Dear friends, let us love one another, for love comes from God. Everyone who loves has been born of God and knows God.
Matthew|6|33|0|But seek first his kingdom and his righteousness, and all these things will be given to you as well.
2 Timothy|1|7|0|For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline.
Matthew|28|19|20|Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe all that I have commanded you. And behold, I am with you always, to the end of the age.
Romans|12|2|0|Do not conform to the pattern of this world, but be transformed by the renewing of your mind. Then you will be able to test and approve what God's will is—his good, pleasing and perfect will.
John|14|6|0|Jesus answered, "I am the way and the truth and the life. No one comes to the Father except through me."
Psalm|46|10|0|He says, "Be still, and know that I am God; I will be exalted among the nations, I will be exalted in the earth."
Galatians|5|22|23|But the fruit of the Spirit is love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness and self-control. Against such things there is no law.
Philippians|4|6|7|Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.
